MD,Mud_Weight,,
m,lbm/galUS,,
176,8.760006097,,
290,9.099998061,,
677,9.599970853,,
988,9.510007566,,
1200,9.599970853,,
1200,9.599970853,,
1200,9.599970853,,
1200,9.599970853,,
1200,10.600001,,
1223,10.5199693,,
1717,10.600001,,
1774,10.5199693,,
1805,10.600001,,
2121,10.76999698,,
2379,11.02002566,,
2602,11.02002566,,
2720,11.02002566,,
2720,11.02002566,,
2720,11.02002566,,
2720,11.26997077,,
2720,11.18000748,,
2750,12.18003663,,
2750,12.10000493,,
2750,12.01997224,,
2959,12.18003663,,
3063,12.18003663,,
3063,12.18003663,,
3063,12.18003663,,
3106,9.510007566,,
3333,9.510007566,,
3338,9.510007566,,
3461,9.510007566,,
3467,9.510007566,,
3635,9.680003548,,
3708,9.760036243,,
3827,9.680003548,,
3893,9.760036243,,
4015,9.680003548,,
4208,9.760036243,,
4208,9.760036243,,
4343,9.680003548,,
4438,9.760036243,,
4489,9.680003548,,
4592,9.259979884,,
4713,9.010034774,,
4882,8.600024275,,
5071,8.600024275,,
5071,8.600024275,,
5240,8.600024275,,
5326,8.600024275,,
5351,8.600024275,,
5580,8.600024275,,
5780,8.600024275,,
5831,8.600024275,,
5851,8.600024275,,
5874,8.600024275,,
5878,8.600024275,,
5942,8.600024275,,
6145,8.600024275,,
6183,8.600024275,,
6183,8.600024275,,
6183,8.600024275,,
6229,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,8.600024275,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
6280,9.010034774,,
