MD,Incl,Azim,NS,EW,TVD
m,deg,deg,m,m,m
0,0,225,0,0,0
97.81,0,225,0,0,97.81
114.27,1.71,235.2,-0.14,-0.2,114.27
134.81,2.35,226.13,-0.61,-0.76,134.79
137,2.22,225.75,-0.67,-0.82,136.98
141.8,1.92,224.74,-0.79,-0.94,141.78
169.3,1.18,215.95,-1.35,-1.43,169.27
196.76,0.89,209,-1.76,-1.7,196.73
210.53,0.39,188.54,-1.9,-1.76,210.49
224.26,0.27,151.17,-1.98,-1.75,224.22
251.72,0.52,165.27,-2.15,-1.69,251.68
257.85,0.75,169.08,-2.22,-1.68,257.81
260.63,0.7,154.42,-2.25,-1.66,260.59
273,0.89,162.3,-2.41,-1.6,272.96
288.13,1.13,168.27,-2.67,-1.54,288.09
315.6,1.64,170.17,-3.32,-1.41,315.55
343.06,1.84,173.79,-4.15,-1.3,343
370.53,2.03,176.27,-5.07,-1.22,370.45
398,2.44,175.67,-6.14,-1.14,397.9
425.46,2.73,183.39,-7.38,-1.14,425.33
452.91,3.62,195.09,-8.86,-1.4,452.74
480.38,5.09,196.96,-10.87,-1.98,480.13
507.86,6.76,197.16,-13.58,-2.82,507.46
535.34,9.36,197.17,-17.26,-3.95,534.67
562.81,11.6,194.75,-22.07,-5.32,561.68
590.28,14.07,190.23,-28.02,-6.61,588.46
606.4,14.96,186.59,-32.02,-7.2,604.07
633.98,16.27,183.11,-39.41,-7.82,630.63
661.61,17.73,179.06,-47.49,-7.96,657.05
689.14,19.43,174.3,-56.23,-7.44,683.15
716.73,21.53,176.35,-65.85,-6.66,708.99
743.89,23.37,172.99,-76.18,-5.68,734.1
769.81,24.93,172.64,-86.7,-4.36,757.75
789,25.75,173.04,-94.85,-3.33,775.09
809.52,26.63,173.44,-103.84,-2.27,793.5
836.67,27.93,174.58,-116.21,-0.97,817.63
864.73,29.05,176.6,-129.56,0.05,842.29
892.18,29.96,178.91,-143.06,0.58,866.19
919.7,30.66,180.56,-156.95,0.64,889.94
947.16,31.53,182.41,-171.13,0.27,913.46
974.72,33.59,183.23,-185.94,-0.46,936.69
1002.28,36.12,182.99,-201.67,-1.31,959.3
1029.8,37.77,184.09,-218.17,-2.34,981.29
1057.08,38.97,185.37,-235.05,-3.74,1002.68
1084.35,40.74,185.47,-252.45,-5.39,1023.61
1111.74,42.69,185.1,-270.59,-7.07,1044.06
1139.26,44.22,184.6,-289.45,-8.67,1064.04
1166.93,45.69,184.67,-308.94,-10.25,1083.62
1194.36,47.41,184.45,-328.79,-11.83,1102.48
1221.84,48.66,184.24,-349.16,-13.38,1120.86
1249.37,50.15,183.19,-370.02,-14.73,1138.77
1276.67,51.44,182.57,-391.15,-15.79,1156.02
1303.96,52.99,182.58,-412.69,-16.76,1172.74
1331.57,54.47,182.24,-434.93,-17.69,1189.08
1359.08,55.89,181.22,-457.51,-18.37,1204.79
1386.87,57.49,180.49,-480.73,-18.72,1220.05
1413.92,59.71,180.33,-503.82,-18.88,1234.14
1441.66,61.69,179.9,-528.01,-18.93,1247.71
1469.06,63.77,179.72,-552.36,-18.85,1260.27
1496.38,65.43,180.06,-577.04,-18.8,1271.99
1523.65,65.34,180.58,-601.83,-18.94,1283.35
1551.36,64.56,181.33,-626.93,-19.36,1295.08
1578.76,64.32,181.38,-651.64,-19.94,1306.9
1606.48,64.44,181.48,-676.63,-20.57,1318.89
1634.09,64.37,181.48,-701.52,-21.21,1330.81
1661.49,64.41,181.71,-726.22,-21.9,1342.66
1688.98,64.5,181.6,-751.01,-22.62,1354.51
1716.57,64.54,181.67,-775.91,-23.33,1366.38
1744.07,64.5,181.86,-800.72,-24.09,1378.21
1771.59,64.65,182.27,-825.56,-24.99,1390.03
1799.12,64.41,182.7,-850.39,-26.06,1401.86
1826.52,64.72,183.5,-875.1,-27.4,1413.63
